site,X_proj,Y_proj,Date,Point,Crew1,Crew2,residential,forest,pavement
ahmafatdc1,319181,4313214,6/27/2014,1,KNO,JR,100,0,40
ahmafatdc1,319109,4313212,6/27/2014,2,KNO,JR,100,0,45
ahmafatdc1,319129,4313260,6/27/2014,3,KNO,JR,100,0,50
ahmafatdc1,319154,4313264,6/27/2014,4,KNO,JR,100,0,50
ahmafatdc1,319135,4313224,6/27/2014,nestbox,KNO,JR,100,0,40
angeparva1,319851,4297693,6/12/2014,1,AMS,CC,100,0,55
angeparva1,319810,4297706,6/12/2014,2,AMS,CC,50,0,0
angeparva1,319834,4297756,6/12/2014,3,AMS,CC,0,0,50
angeparva1,319799,4297731,6/12/2014,4,AMS,CC,50,0,50
angeparva1,319880,4297787,6/12/2014,nestbox,AMS,CC,1,0,2
barndormd1,326607,4315770,6/19/2014,1,KNO,JR,20,80,0
barndormd1,326633,4315811,6/19/2014,2,KNO,JR,100,0,20
barndormd1,326615,4315843,6/19/2014,3,KNO,JR,100,0,45
barndormd1,326652,4315843,6/19/2014,4,KNO,JR,100,0,55
barndormd1,326616,4315809,6/19/2014,nestbox,KNO,JR,100,0,15
benskatva1,294667,4307553,6/15/2014,1,AMS,CC,0,100,0
benskatva1,294697,4307511,6/15/2014,2,AMS,CC,65,35,0
benskatva1,294701,4307563,6/15/2014,3,AMS,CC,75,25,.
benskatva1,294737,4307542,6/15/2014,4,AMS,CC,100,0,0
benskatva1,294695,4307543,6/15/2014,nestbox,AMS,CC,50,50,0
bladmaumd1,350073,4312943,6/16/2014,1,KNO,JR,100,0,2
bladmaumd1,350063,4312926,6/16/2014,2,KNO,JR,100,0,70
bladmaumd1,350043,4312901,6/16/2014,3,KNO,JR,100,0,25
bladmaumd1,350085,4312878,6/16/2014,4,KNO,JR,100,0,10
bladmaumd1,350095,4312927,6/16/2014,nestbox,KNO,JR,100,0,10
blocdavmd1,326369,4315998,7/2/2013,1,KNO,,100,0,5
blocdavmd1,326376,4316003,7/2/2013,2,KNO,,100,0,5
blocdavmd1,326348,4315952,7/2/2013,3,KNO,,5,95,2
blocdavmd1,326334,4316028,7/2/2013,4,KNO,,100,0,0
blocdavmd1,326757,4315994,7/2/2013,nestbox,KNO,,100,0,0
boscjoedc1,321229,4311577,6/27/2014,1,KNO,JR,100,0,20
boscjoedc1,321213,4311552,6/27/2014,2,KNO,JR,100,0,60
boscjoedc1,321235,4311546,6/27/2014,3,KNO,JR,100,0,55
boscjoedc1,321269,4311553,6/27/2014,4,KNO,JR,100,0,50
boscjoedc1,321235,4311580,6/27/2014,nestbox,KNO,JR,100,0,25
